ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
511090.SH,20241008,115.1,113.798,115.97,113.741,115.158,0.058,0.0504,252775.29,2915182.299,1.026,109.528,111.618,109.473,110.837
511090.SH,20241009,115.158,115.5,116.2,115.18,116.157,0.999,0.8675,302720.0,3500747.427,1.026,111.166,111.84,110.858,111.798
511090.SH,20241010,116.157,116.177,117.56,115.621,117.407,1.25,1.0761,386033.0,4504204.877,1.026,111.818,113.149,111.283,113.001
511090.SH,20241011,117.407,117.802,118.3,116.8,116.894,-0.513,-0.4369,476493.54,5606141.645,1.026,113.382,113.861,112.417,112.508
511090.SH,20241014,116.894,117.042,117.465,116.701,116.96,0.066,0.0565,385295.97,4510350.067,1.026,112.65,113.057,112.322,112.571
511090.SH,20241015,116.96,117.012,117.25,116.165,116.798,-0.162,-0.1385,416771.0,4859786.521,1.026,112.621,112.85,111.806,112.415
511090.SH,20241016,116.798,116.969,117.0,116.584,116.663,-0.135,-0.1156,366494.06,4277787.8,1.026,112.58,112.61,112.209,112.285
511090.SH,20241017,116.663,116.484,117.255,116.411,117.24,0.577,0.4946,311685.98,3643927.024,1.026,112.113,112.855,112.043,112.841
511090.SH,20241018,117.24,117.521,117.75,116.605,117.025,-0.215,-0.1834,479273.5,5618918.135,1.026,113.111,113.332,112.23,112.634
511090.SH,20241021,117.025,116.95,117.271,116.841,117.067,0.042,0.0359,330365.0,3866066.856,1.026,112.562,112.871,112.457,112.674
511090.SH,20241022,117.067,117.054,117.135,116.685,116.705,-0.362,-0.3092,286617.06,3352153.121,1.026,112.662,112.74,112.307,112.326
511090.SH,20241023,116.705,116.516,116.649,115.32,115.94,-0.765,-0.6555,454775.49,5268031.956,1.026,112.144,112.272,110.993,111.59
511090.SH,20241024,115.94,116.151,116.42,116.002,116.028,0.088,0.0759,360274.26,4187841.654,1.026,111.793,112.052,111.649,111.674
511090.SH,20241025,116.028,116.05,116.059,115.6,115.702,-0.326,-0.281,306744.25,3552796.403,1.026,111.695,111.704,111.262,111.36
511090.SH,20241028,114.202,114.202,114.238,113.744,113.765,-0.437,-0.3827,219627.49,2501140.628,1.04,111.417,111.452,110.97,110.99
